storeid;LSallowed;lastEdit;user
AT0019;TRUE;2025-02-07 13:25;Default import
AT0029;TRUE;2025-02-07 13:25;Default import
AT0109;TRUE;2025-02-07 13:25;Default import
CA0005;TRUE;2025-02-07 13:25;Default import
CA0011;TRUE;2025-02-07 13:25;Default import
CA0011;TRUE;2025-02-07 13:25;Default import
CA0015;TRUE;2025-02-07 13:25;Default import
CA0037;TRUE;2025-02-07 13:25;Default import
CA0051;TRUE;2025-02-07 13:25;Default import
CA0082;TRUE;2025-02-07 13:25;Default import
CA0083;TRUE;2025-02-07 13:25;Default import
CA0086;TRUE;2025-02-07 13:25;Default import
CA0111;TRUE;2025-02-07 13:25;Default import
CA0113;TRUE;2025-02-07 13:25;Default import
CH0203;TRUE;2025-02-07 13:25;Default import
CN0698;TRUE;2025-02-07 13:25;Default import
CN0698;TRUE;2025-02-07 13:25;Default import
CN0820;TRUE;2025-02-07 13:25;Default import
CO0014;TRUE;2025-02-07 13:25;Default import
CZ0031;TRUE;2025-02-07 13:25;Default import
CZ0031;TRUE;2025-02-07 13:25;Default import
DE0433;TRUE;2025-02-07 13:25;Default import
DE0433;TRUE;2025-02-07 13:25;Default import
DE0623;TRUE;2025-02-07 13:25;Default import
DE0709;TRUE;2025-02-07 13:25;Default import
DK0003;TRUE;2025-02-07 13:25;Default import
DK0401;TRUE;2025-02-07 13:25;Default import
DK0811;TRUE;2025-02-07 13:25;Default import
DK0851;TRUE;2025-02-07 13:25;Default import
DK0851;TRUE;2025-02-07 13:25;Default import
ES0003;TRUE;2025-02-07 13:25;Default import
ES0053;TRUE;2025-02-07 13:25;Default import
ES0053;TRUE;2025-02-07 13:25;Default import
ES0084;TRUE;2025-02-07 13:25;Default import
ES0200;TRUE;2025-02-07 13:25;Default import
ES0548;TRUE;2025-02-07 13:25;Default import
FR0011;TRUE;2025-02-07 13:25;Default import
FR0011;TRUE;2025-02-07 13:25;Default import
FR0011;TRUE;2025-02-07 13:25;Default import
FR0147;TRUE;2025-02-07 13:25;Default import
FR0147;TRUE;2025-02-07 13:25;Default import
FR0677;TRUE;2025-02-07 13:25;Default import
FR0677;TRUE;2025-02-07 13:25;Default import
FR0677;TRUE;2025-02-07 13:25;Default import
FR4667;TRUE;2025-02-07 13:25;Default import
GB0351;TRUE;2025-02-07 13:25;Default import
GB0351;TRUE;2025-02-07 13:25;Default import
GB0351;TRUE;2025-02-07 13:25;Default import
GB0660;TRUE;2025-02-07 13:25;Default import
GB0660;TRUE;2025-02-07 13:25;Default import
GB0661;TRUE;2025-02-07 13:25;Default import
GB0877;TRUE;2025-02-07 13:25;Default import
GB1100;TRUE;2025-02-07 13:25;Default import
GB1401;TRUE;2025-02-07 13:25;Default import
GB1401;TRUE;2025-02-07 13:25;Default import
IT0500;TRUE;2025-02-07 13:25;Default import
JP0311;TRUE;2025-02-07 13:25;Default import
JP0461;TRUE;2025-02-07 13:25;Default import
NL0049;TRUE;2025-02-07 13:25;Default import
NL0064;TRUE;2025-02-07 13:25;Default import
NL0078;TRUE;2025-02-07 13:25;Default import
NL0080;TRUE;2025-02-07 13:25;Default import
NL0080;TRUE;2025-02-07 13:25;Default import
NL0113;TRUE;2025-02-07 13:25;Default import
NL0143;TRUE;2025-02-07 13:25;Default import
NL0173;TRUE;2025-02-07 13:25;Default import
PL0016;TRUE;2025-02-07 13:25;Default import
PT0301;TRUE;2025-02-07 13:25;Default import
PT0303;TRUE;2025-02-07 13:25;Default import
PT0312;TRUE;2025-02-07 13:25;Default import
RS0503;TRUE;2025-02-07 13:25;Default import
SE0033;TRUE;2025-02-07 13:25;Default import
SE0033;TRUE;2025-02-07 13:25;Default import
SE0038;TRUE;2025-02-07 13:25;Default import
SE0038;TRUE;2025-02-07 13:25;Default import
SE0038;TRUE;2025-02-07 13:25;Default import
SE0179;TRUE;2025-02-07 13:25;Default import
SE0180;TRUE;2025-02-07 13:25;Default import
SE1001;TRUE;2025-02-07 13:25;Default import
SE1001;TRUE;2025-02-07 13:25;Default import
SK0403;TRUE;2025-02-07 13:25;Default import
SK0405;TRUE;2025-02-07 13:25;Default import
US0060;TRUE;2025-02-07 13:25;Default import
US0060;TRUE;2025-02-07 13:25;Default import
US0060;TRUE;2025-02-07 13:25;Default import
US0102;TRUE;2025-02-07 13:25;Default import
US0160;TRUE;2025-02-07 13:25;Default import
US0234;TRUE;2025-02-07 13:25;Default import
US0390;TRUE;2025-02-07 13:25;Default import
US0390;TRUE;2025-02-07 13:25;Default import
US0500;TRUE;2025-02-07 13:25;Default import
US0600;TRUE;2025-02-07 13:25;Default import
US0600;TRUE;2025-02-07 13:25;Default import
US0600;TRUE;2025-02-07 13:25;Default import
US0600;TRUE;2025-02-07 13:25;Default import
US0600;TRUE;2025-02-07 13:25;Default import
US0600;TRUE;2025-02-07 13:25;Default import
US0600;TRUE;2025-02-07 13:25;Default import
ZA0002;TRUE;2025-02-07 13:25;Default import
ZA0002;TRUE;2025-02-07 13:25;Default import